Word form,LWT code,Meaning,Core list,Borrowed status,Source words
pellen,5.46,to peel,TRUE,1. clearly borrowed,pellis 'skin' Latin
molen,5.57,the mill,TRUE,1. clearly borrowed,molina 'molen' Latin
soep,5.64,the soup,TRUE,1. clearly borrowed,soupe 'soup' French
fruit,5.71,the fruit,TRUE,1. clearly borrowed,fruit 'fruit' French
vijg,5.75,the fig,TRUE,1. clearly borrowed,figes 'vijg' French
olijf,5.78,the olive,TRUE,1. clearly borrowed,olīva 'olive' Latin
olie,5.79,the oil,TRUE,1. clearly borrowed,olium 'olie' Latin
peper,5.82,the pepper,TRUE,1. clearly borrowed,piper 'pepper' Latin
suiker,5.85,the sugar,TRUE,1. clearly borrowed,sucre 'suiker' French
kaas,5.88,the cheese,TRUE,1. clearly borrowed,cāseus 'cheese' Latin
boter,5.89,the butter,TRUE,1. clearly borrowed,butyrum 'butter' Latin
wijn,5.92,the wine,TRUE,1. clearly borrowed,vīnum 'wine' Latin
stof,6.21,the cloth,TRUE,1. clearly borrowed,estophe 'stof (2)' French
katoen,6.24,the cotton,TRUE,1. clearly borrowed,coton 'cotton' French
zijde,6.25,the silk,TRUE,1. clearly borrowed,*seda 'zijde' Romance
bont,6.28,the fur,TRUE,1. clearly borrowed,punctus 'bont' Latin
spindel,6.32,the spindle,TRUE,1. clearly borrowed,Spindel 'spindel' High German
mantel,6.41,the cloak,TRUE,1. clearly borrowed,mantellum 'mantel' Latin
poncho,6.411,the poncho,TRUE,1. clearly borrowed,poncho 'poncho' Spanish
jurk,6.42,the (woman's) dress,TRUE,1. clearly borrowed,journée 'jurk' French
kous,6.49,the sock or stocking,TRUE,1. clearly borrowed,cauce 'sock or stocking' French (Picard)
sok,6.49,the sock or stocking,TRUE,1. clearly borrowed,Socke 'sok' High German
muts,6.55,the hat or cap,TRUE,1. clearly borrowed,almucia 'muts' Latin
ceintuur,6.57,the belt,TRUE,1. clearly borrowed,ceinture 'belt' French
sluier,6.59,the veil,TRUE,1. clearly borrowed,Schleier 'sluier' High German
zak,6.61,the pocket,TRUE,1. clearly borrowed,saccus 'zak' Latin
speld,6.63,the pin,TRUE,1. clearly borrowed,spinula 'little thorn' Latin
sieraad,6.71,the ornament or adornment,TRUE,1. clearly borrowed,Zierat 'sieraad' High German
juweel,6.72,the jewel,TRUE,1. clearly borrowed,joël 'juweel' French
kraal,6.76,the bead,TRUE,1. clearly borrowed,coral 'kraal' French
spiegel,6.96,the mirror,TRUE,1. clearly borrowed,speglum 'spiegel' Latin
hut,7.13,the hut,TRUE,1. clearly borrowed,Hütte 'hut' High German
tent,7.14,the tent,TRUE,1. clearly borrowed,tente 'tent' French
keuken,7.17,the cookhouse,TRUE,1. clearly borrowed,cocina 'keuken' Latin
kamer,7.21,the room,TRUE,1. clearly borrowed,camera 'room' Latin
poort,7.22,the door or gate,TRUE,1. clearly borrowed,porta 'gate' Latin
venster,7.25,the window,TRUE,1. clearly borrowed,fenestra 'hatch in the wall' Latin
muur,7.27,the wall,TRUE,1. clearly borrowed,murus 'muur' Latin
kachel,7.32,the stove,TRUE,1. clearly borrowed,Kachelofen 'kachel' High German
kussen,7.421,the pillow,TRUE,1. clearly borrowed,cussin 'kussen (1)' French
tafel,7.44,the table,TRUE,1. clearly borrowed,"tabula 'board, plank' Latin"
lamp,7.45,the lamp or torch,TRUE,1. clearly borrowed,lampe 'lamp' French
kaars,7.46,the candle,TRUE,1. clearly borrowed,kerza 'kaars' High German
plank,7.47,the shelf,TRUE,1. clearly borrowed,planke 'board' French (Picard)
post,7.56,the post or pole,TRUE,1. clearly borrowed,postis 'post (1)' Latin
paal,7.56,the post or pole,TRUE,1. clearly borrowed,pālus 'pole' Latin
plank,7.57,the board,TRUE,1. clearly borrowed,planke 'board' French (Picard)
metselaar,7.61,the mason,TRUE,1. clearly borrowed,macio 'to lay bricks' Latin
mortel,7.63,the mortar(2),TRUE,1. clearly borrowed,mortarium 'mortar' Latin
specie,7.63,the mortar(2),TRUE,1. clearly borrowed,species 'specie' Latin
kamp,7.65,the camp,TRUE,1. clearly borrowed,camp 'camp' French (Picard)
hangmat,7.66,the hammock,TRUE,1. clearly borrowed,hamaca 'hammock' Spanish
vork,8.26,the fork(2)/pitchfork,TRUE,1. clearly borrowed,furca 'forked branch' Latin
lasso,8.29,the lasso,TRUE,1. clearly borrowed,lasso 'lasso' English
oogst,8.41,the harvest,TRUE,1. clearly borrowed,augustus 'oogst' Latin
graan,8.42,the grain,TRUE,1. clearly borrowed,"grānum 'grain, corn' Latin"
rogge,8.45,the rye,TRUE,1. clearly borrowed,rŭžĭ 'rogge' Old Slavic
maïs,8.47,the maize/corn,TRUE,1. clearly borrowed,maiz 'maize' Spanish
rijst,8.48,the rice,TRUE,1. clearly borrowed,ris 'rijst' French
plant,8.53,the plant,TRUE,1. clearly borrowed,planta 'plant' Latin
planten,8.531,to plant,TRUE,1. clearly borrowed,plantare 'to plant' Latin
tabak,8.68,the tobacco,TRUE,1. clearly borrowed,tabaco 'the tobacco' Spanish
pijp,8.691,the pipe,TRUE,1. clearly borrowed,*pipa 'pijp' Romance
palm,8.81,the palm tree,TRUE,1. clearly borrowed,palma 'palm tree; palm of the hand' Latin
banaan,8.84,the banana,TRUE,1. clearly borrowed,banana 'banana' Portuguese
banyan,8.85,the banyan,TRUE,1. clearly borrowed,banyan 'banyan' English
bataat,8.91,the sweet potato,TRUE,1. clearly borrowed,batata 'sweet potato' Portuguese (uncertain)
,,,,,batata 'sweet potato' Spanish (uncertain)
sorghum,8.911,the millet or sorghum,TRUE,1. clearly borrowed,sorghum 'sorghum' Latin
yam,8.912,the yam,TRUE,1. clearly borrowed,yam 'yam' English
cassave,8.92,the cassava/manioc,TRUE,1. clearly borrowed,cassave 'cassava' French
maniok,8.92,the cassava/manioc,TRUE,1. clearly borrowed,manioc 'manioc' French
kalebas,8.93,the gourd,TRUE,1. clearly borrowed,calebasse 'kalebas' French
pompoen,8.931,the pumpkin or squash,TRUE,1. clearly borrowed,pompon 'pompoen' French
bamboe,8.94,the bamboo,TRUE,1. clearly borrowed,bambu 'bamboe' Indonesian
lariks,8.991,the larch,TRUE,1. clearly borrowed,larix 'a tree (Larix)' Latin
keten,9.18,the chain,TRUE,1. clearly borrowed,catēna 'chain' Latin
kapot,9.261,broken,TRUE,1. clearly borrowed,kaputt 'kapot' High German
zilver,9.65,the silver,TRUE,1. clearly borrowed,arpu 'zilver' Akkadian
koper,9.66,the copper,TRUE,1. clearly borrowed,cyprum 'koper' Latin
ijzer,9.67,the iron,TRUE,1. clearly borrowed,*īsarno- 'ijzer' Celtic
lood,9.68,the lead,TRUE,1. clearly borrowed,*loudiom 'lood' Celtic
boetseren,9.72,to mould/mold,TRUE,1. clearly borrowed,bocer 'boetseren' French (Picard)
mat,9.77,the mat,TRUE,1. clearly borrowed,matta 'mat' Latin
tapijt,9.771,the rug,TRUE,1. clearly borrowed,tapit 'tapijt' French
boemerang,9.87,the boomerang,TRUE,1. clearly borrowed,boomerang 'the boomerang' English
wikkelen,10.14,to wrap,TRUE,1. clearly borrowed,wickeln 'wikkelen' High German
rollen,10.15,to roll,TRUE,1. clearly borrowed,rouler 'to roll' French
dansen,10.44,to dance,TRUE,1. clearly borrowed,danser 'to dance' French
kar,10.75,the cart or wagon,TRUE,1. clearly borrowed,carrus 'kar' Latin
kano,10.831,the canoe,TRUE,1. clearly borrowed,canoa 'the canoe' Spanish
outrigger,10.832,the outrigger,TRUE,1. clearly borrowed,outrigger 'outrigger' English
riem,10.85,the oar,TRUE,1. clearly borrowed,remus 'riem' Latin
peddel,10.851,the paddle,TRUE,1. clearly borrowed,paddle 'paddle' English
anker,10.89,the anchor,TRUE,1. clearly borrowed,ancora 'anchor' Latin
munt,11.44,the coin,TRUE,1. clearly borrowed,monēta '‘mint’; designation of a goddess' Latin
rijk,11.51,rich,TRUE,1. clearly borrowed,*riks 'state' Celtic
salaris,11.78,the wages,TRUE,1. clearly borrowed,salarium 'salaris' Latin
kopen,11.81,to buy,TRUE,1. clearly borrowed,caupō 'tradesman' Latin
markt,11.85,the market,TRUE,1. clearly borrowed,mercātus 'market' Latin
prijs,11.87,the price,TRUE,1. clearly borrowed,pris 'prijs' French
plaats,12.11,the place,TRUE,1. clearly borrowed,place 'plaats' French
resten,12.17,the remains,TRUE,1. clearly borrowed,reste 'resten' French
verzamelen,12.21,to gather,TRUE,1. clearly borrowed,versammeln 'verzamelen' High German
spits,12.352,pointed,TRUE,1. clearly borrowed,Spitze 'spits' High German
kant,12.353,the edge,TRUE,1. clearly borrowed,cantus 'edge' Latin
kant,12.36,the side,TRUE,1. clearly borrowed,cantus 'edge' Latin
kort,12.59,short,TRUE,1. clearly borrowed,"curtus 'short, mutilated' Latin"
plat,12.71,flat,TRUE,1. clearly borrowed,plat 'flat' French
kruis,12.77,the cross,TRUE,1. clearly borrowed,cruce 'kruis' Latin
rond,12.81,round,TRUE,1. clearly borrowed,rond 'rond' French
cirkel,12.82,the circle,TRUE,1. clearly borrowed,circulus 'little ring' Latin
nul,13,zero,TRUE,1. clearly borrowed,nulla 'zero' Italian
paar,13.37,the pair,TRUE,1. clearly borrowed,par 'equal' Latin
direct,14.19,immediately,TRUE,1. clearly borrowed,direct 'direct' French
langzaam,14.22,slow,TRUE,1. clearly borrowed,langsam 'langzaam' High German
zich haasten,14.23,to hurry,TRUE,1. clearly borrowed,se haster 'zich haasten' French
duren,14.252,to last,TRUE,1. clearly borrowed,durer 'duren' French
klaar,14.29,ready,TRUE,1. clearly borrowed,clārus 'bright' Latin
uur,14.51,the hour,TRUE,1. clearly borrowed,(h)ore 'uur' French
klok,14.53,the clock,TRUE,1. clearly borrowed,cloc 'klok' Old Irish
zaterdag,14.68,Saturday,TRUE,1. clearly borrowed,dies Saturni 'zaterdag' Latin
seizoen,14.78,the season,TRUE,1. clearly borrowed,saison 'seizoen' French
proeven,15.31,to taste,TRUE,1. clearly borrowed,prover 'proeven' French
kleur,15.61,the colour/color,TRUE,1. clearly borrowed,couleur 'color' French
pech,16.19,the bad luck,TRUE,1. clearly borrowed,Pech 'pech' High German
pijn,16.31,the pain,TRUE,1. clearly borrowed,"pena, poena 'pijn' Latin"
medelijden,16.35,the pity,TRUE,1. clearly borrowed,Mitleid 'medelijden' High German
jaloezie,16.44,the envy or jealousy,TRUE,1. clearly borrowed,jalousie 'jealousy' French
trots,16.48,proud,TRUE,1. clearly borrowed,trotz 'trots' High German
gevaar,16.54,the danger,TRUE,1. clearly borrowed,Gefahr 'gevaar' High German
juist,16.73,right(2),TRUE,1. clearly borrowed,"juste 'just, right' French"
fout,16.77,the mistake,TRUE,1. clearly borrowed,faute 'fault' French
gulzig,16.83,greedy,TRUE,1. clearly borrowed,golos 'gulzig' French
begrijpen,17.16,to understand,TRUE,1. clearly borrowed,begreifen 'begrijpen' High German
imiteren,17.172,to imitate,TRUE,1. clearly borrowed,imiter 'imiteren' French
idee,17.19,the idea,TRUE,1. clearly borrowed,idée 'idea' French
studeren,17.242,to study,TRUE,1. clearly borrowed,studēre 'studeren' Latin
school,17.28,the school,TRUE,1. clearly borrowed,schola 'school' Latin
zich herinneren,17.31,to remember,TRUE,1. clearly borrowed,sich erinnern 'zich herinneren' High German
geheim,17.36,secret,TRUE,1. clearly borrowed,geheim 'geheim' High German
zeker,17.37,certain,TRUE,1. clearly borrowed,secūrus 'free from care' Latin
oorzaak,17.42,the cause,TRUE,1. clearly borrowed,Ursache 'oorzaak' High German
proberen,17.48,to try,TRUE,1. clearly borrowed,probare 'proberen' Latin
trachten,17.48,to try,TRUE,1. clearly borrowed,tractare 'trachten' Latin
manier,17.49,the manner,TRUE,1. clearly borrowed,manière 'manner' French
stotteren,18.211,to stutter or stammer,TRUE,1. clearly borrowed,stottern 'stotteren' High German
schrijven,18.51,to write,TRUE,1. clearly borrowed,scribere 'schrijven' Latin
papier,18.56,the paper,TRUE,1. clearly borrowed,papier 'papier' French
pen,18.57,the pen,TRUE,1. clearly borrowed,penna 'feather' Latin
dichter,18.67,the poet,TRUE,1. clearly borrowed,dictator 'dichter' Latin
fluit,18.71,the flute,TRUE,1. clearly borrowed,flûte 'fluit' French
trommel,18.72,the drum,TRUE,1. clearly borrowed,Trommel 'trommel' High German
trom,18.72,the drum,TRUE,1. clearly borrowed,trum(m)e 'trom' High German
trompet,18.73,the horn or trumpet,TRUE,1. clearly borrowed,trompette 'trumpet' French
grens,19.17,the boundary,TRUE,1. clearly borrowed,grenize 'grens' Low German
heersen,19.31,to rule or govern,TRUE,1. clearly borrowed,herrschen 'heersen' High German
regeren,19.31,to rule or govern,TRUE,1. clearly borrowed,regere 'regeren' Latin
meester,19.41,the master,TRUE,1. clearly borrowed,maistre 'meester' French
slaaf,19.42,the slave,TRUE,1. clearly borrowed,sclavus 'slave' Latin
bediende,19.43,the servant,TRUE,1. clearly borrowed,Bediente(r) 'bediende' High German
vreemdeling,19.55,the stranger,TRUE,1. clearly borrowed,Fremdling 'vreemdeling' High German
prostituee,19.72,the prostitute,TRUE,1. clearly borrowed,prostituée 'prostitute' French
soldaat,20.17,the soldier,TRUE,1. clearly borrowed,soldat 'soldaat' French
katapult,20.23,the sling,TRUE,1. clearly borrowed,catapulte 'catapult' French
pijl,20.25,the arrow,TRUE,1. clearly borrowed,pilum 'pijl' Latin
harnas,20.31,the armour,TRUE,1. clearly borrowed,harnasc 'harnas' French
toren,20.36,the tower,TRUE,1. clearly borrowed,turrem 'toren' Latin
nederlaag,20.42,the defeat,TRUE,1. clearly borrowed,Niederlage 'nederlaag' High German
hinderlaag,20.49,the ambush,TRUE,1. clearly borrowed,Hinterhalt 'ambush' High German
straf,21.37,the penalty or punishment,TRUE,1. clearly borrowed,Strafe 'straf' High German
tempel,22.13,the temple,TRUE,1. clearly borrowed,templum 'temple' Latin
kerk,22.131,the church,TRUE,1. clearly borrowed,kuri(a)kon 'kerk' Greek
moskee,22.132,the mosque,TRUE,1. clearly borrowed,mosquée 'mosque' French
altaar,22.14,the altar,TRUE,1. clearly borrowed,"altāre '‘altar’, literally ‘high spot’' Latin"
offer,22.15,the sacrifice,TRUE,1. clearly borrowed,offerre 'offer' Latin
priester,22.18,the priest,TRUE,1. clearly borrowed,*prestre 'priester' Latin
preken,22.22,to preach,TRUE,1. clearly borrowed,"praedicâre 'announce, proclaim' Latin"
zegenen,22.23,to bless,TRUE,1. clearly borrowed,signare 'zegenen' Latin
demon,22.35,the demon,TRUE,1. clearly borrowed,daemōn 'demon' Latin
heks,22.43,the sorcerer or witch,TRUE,1. clearly borrowed,Hexe 'heks' High German
elf,22.44,the fairy or elf,TRUE,1. clearly borrowed,Elf(e) 'elf (2)' High German
fee,22.44,the fairy or elf,TRUE,1. clearly borrowed,fée 'fee' French
radio,23.1,the radio,TRUE,1. clearly borrowed,radio 'the radio' English
televisie,23.11,the television,TRUE,1. clearly borrowed,television 'television' English
telefoon,23.12,the telephone,TRUE,1. clearly borrowed,téléphone 'telephone' French
auto,23.14,the car,TRUE,1. clearly borrowed,auto(mobile) 'auto' English
bus,23.15,the bus,TRUE,1. clearly borrowed,bus 'bus' English
trein,23.155,the train,TRUE,1. clearly borrowed,train 'train' English
elektriciteit,23.17,the electricity,TRUE,1. clearly borrowed,electricity 'elektriciteit' French
batterij,23.175,the battery,TRUE,1. clearly borrowed,batterie 'battery' French
motor,23.185,the motor,TRUE,1. clearly borrowed,motor 'mover' Latin
machine,23.19,the machine,TRUE,1. clearly borrowed,machine 'machine' French
pil,23.22,the pill or tablet,TRUE,1. clearly borrowed,pillula 'pill' Latin
injectie,23.23,the injection,TRUE,1. clearly borrowed,injection 'injectie' French
bril,23.24,the spectacles/glasses,TRUE,1. clearly borrowed,beryllus 'bril' Latin
president,23.31,the president,TRUE,1. clearly borrowed,président 'president' French
minister,23.32,the minister,TRUE,1. clearly borrowed,ministre 'minister (in government)' French
politie,23.33,the police,TRUE,1. clearly borrowed,"police 'city guardians, police' French"
adres,23.385,the address,TRUE,1. clearly borrowed,adresse 'address' French
straat,23.395,the street,TRUE,1. clearly borrowed,(via) strāta 'laid down (way)' Latin
post,23.4,the post/mail,TRUE,1. clearly borrowed,poste 'post/mail' French
brief,23.42,the letter,TRUE,1. clearly borrowed,brevis 'brief' Latin
bank,23.44,the bank,TRUE,1. clearly borrowed,banco 'bank' Italian
toilet,23.52,the toilet,TRUE,1. clearly borrowed,"toilette 'grooming, dressing, toilet' French"
wc,23.52,the toilet,TRUE,1. clearly borrowed,"WC 'WC, short for water closet' English"
matras,23.53,the mattress,TRUE,1. clearly borrowed,materas 'matras' French
schroef,23.55,the screw,TRUE,1. clearly borrowed,escroue 'schroef' French
plastic,23.57,the plastic,TRUE,1. clearly borrowed,plastic 'plastic' English
bom,23.575,the bomb,TRUE,1. clearly borrowed,bombe 'bomb' French
sigaret,23.59,the cigarette,TRUE,1. clearly borrowed,cigarette 'cigarette' French
krant,23.6,the newspaper,TRUE,1. clearly borrowed,courant 'electricity' French
kalender,23.61,the calendar,TRUE,1. clearly borrowed,Kalender 'kalender' High German
film,23.62,the film/movie,TRUE,1. clearly borrowed,film 'film' English
muziek,23.63,the music,TRUE,1. clearly borrowed,musique 'the music' French
thee,23.9,the tea,TRUE,1. clearly borrowed,tê 'tea' Hokkien
koffie,23.91,the coffee,TRUE,1. clearly borrowed,kahve 'coffee' Turkish
bok,3.37,the he-goat,TRUE,3. perhaps borrowed,*bukko- 'bok' Celtic
kop,5.35,the cup,TRUE,3. perhaps borrowed,cuppa 'kop' Latin
bier,5.93,the beer,TRUE,3. perhaps borrowed,biber 'beer' Latin
jas,6.41,the cloak,TRUE,3. perhaps borrowed,jas 'coat' Low German
jas,6.43,the coat,TRUE,3. perhaps borrowed,jas 'coat' Low German
pin,9.91,the peg,TRUE,3. perhaps borrowed,pinna 'pin' Latin
boot,10.83,the boat,TRUE,3. perhaps borrowed,boat 'boot' English
burger,19.37,the citizen,TRUE,3. perhaps borrowed,Bürger 'burger' High German
eed,21.25,the oath,TRUE,3. perhaps borrowed,*oit 'eed' Celtic
