Entity,Code,Year,"Crude marriage rate (per 1,000 inhabitants)"
Argentina,ARG,1970,7.5
Argentina,ARG,1983,6.300000191
Argentina,ARG,1995,4.300000191
Argentina,ARG,2005,3.400000095
Argentina,ARG,2006,3.400000095
Argentina,ARG,2010,3
Argentina,ARG,2011,3.1
Argentina,ARG,2012,3.2
Argentina,ARG,2013,2.9
Argentina,ARG,2014,2.8
Argentina,ARG,2015,2.8
Argentina,ARG,2016,2.7
Armenia,ARM,1970,7.300000191
Armenia,ARM,1985,9.899999619
Armenia,ARM,1995,4.199999809
Armenia,ARM,2004,5.3
Armenia,ARM,2005,5.2
Armenia,ARM,2006,5.2
Armenia,ARM,2007,5.6
Armenia,ARM,2008,5.7
Armenia,ARM,2009,5.8
Armenia,ARM,2010,5.2
Armenia,ARM,2011,6
Armenia,ARM,2015,5.9
Armenia,ARM,2016,5.4
Armenia,ARM,2017,5.1
Aruba,ABW,1974,8.300000191
Aruba,ABW,1985,7
Aruba,ABW,1995,7.400000095
Aruba,ABW,2005,5.699999809
Aruba,ABW,2006,5.300000191
Australia,AUS,1970,9.3
Australia,AUS,1980,7.4
Australia,AUS,1981,7.6
Australia,AUS,1982,7.7
Australia,AUS,1983,7.5
Australia,AUS,1984,7
Australia,AUS,1985,7.3
Australia,AUS,1986,7.2
Australia,AUS,1987,7
Australia,AUS,1988,7.1
Australia,AUS,1989,7
Australia,AUS,1990,6.9
Australia,AUS,1991,6.6
Australia,AUS,1992,6.6
Australia,AUS,1993,6.4
Australia,AUS,1994,6.2
Australia,AUS,1995,6.1
Australia,AUS,1996,5.8
Australia,AUS,1997,5.8
Australia,AUS,1998,5.9
Australia,AUS,1999,6
Australia,AUS,2000,5.9
Australia,AUS,2001,5.3
Australia,AUS,2002,5.4
Australia,AUS,2003,5.3
Australia,AUS,2004,5.5
Australia,AUS,2005,5.4
Australia,AUS,2006,5.5
Australia,AUS,2007,5.5
Australia,AUS,2008,5.5
Australia,AUS,2009,5.5
Australia,AUS,2010,5.4
Australia,AUS,2011,5.4
Australia,AUS,2012,5.4
Australia,AUS,2013,5.1
Australia,AUS,2014,5.2
Australia,AUS,2015,4.8
Australia,AUS,2016,4.9
Australia,AUS,2017,4.6
Austria,AUT,1960,8.3
Austria,AUT,1961,8.5
Austria,AUT,1962,8.4
Austria,AUT,1963,8.1
Austria,AUT,1964,8
Austria,AUT,1965,7.8
Austria,AUT,1966,7.6
Austria,AUT,1967,7.6
Austria,AUT,1968,7.6
Austria,AUT,1969,7.3
Austria,AUT,1970,7.1
Austria,AUT,1971,6.4
Austria,AUT,1972,7.6
Austria,AUT,1973,6.5
Austria,AUT,1974,6.5
Austria,AUT,1975,6.1
Austria,AUT,1976,6
Austria,AUT,1977,6
Austria,AUT,1978,5.9
Austria,AUT,1979,6
Austria,AUT,1980,6.2
Austria,AUT,1981,6.3
Austria,AUT,1982,6.3
Austria,AUT,1983,7.4
Austria,AUT,1984,6.1
Austria,AUT,1985,5.9
Austria,AUT,1986,6.1
Austria,AUT,1987,10.1
Austria,AUT,1988,4.7
Austria,AUT,1989,5.6
Austria,AUT,1990,5.9
Austria,AUT,1991,5.7
Austria,AUT,1992,5.8
Austria,AUT,1993,5.7
Austria,AUT,1994,5.5
Austria,AUT,1995,5.4
Austria,AUT,1996,5.3
Austria,AUT,1997,5.2
Austria,AUT,1998,4.9
Austria,AUT,1999,4.9
Austria,AUT,2000,4.9
Austria,AUT,2001,4.3
Austria,AUT,2002,4.5
Austria,AUT,2003,4.6
Austria,AUT,2004,4.7
Austria,AUT,2005,4.8
Austria,AUT,2006,4.5
Austria,AUT,2007,4.3
Austria,AUT,2008,4.2
Austria,AUT,2009,4.3
Austria,AUT,2010,4.5
Austria,AUT,2011,4.3
Austria,AUT,2012,4.6
Austria,AUT,2013,4.3
Austria,AUT,2014,4.4
Austria,AUT,2015,5.1
Austria,AUT,2016,5.1
Austria,AUT,2017,5.1
Azerbaijan,AZE,1970,6.800000191
Azerbaijan,AZE,1985,10.5
Azerbaijan,AZE,1995,5.599999905
Azerbaijan,AZE,2004,7.5
Azerbaijan,AZE,2005,8.5
Azerbaijan,AZE,2006,9.4
Azerbaijan,AZE,2007,9.5
Azerbaijan,AZE,2008,9.1
Azerbaijan,AZE,2009,8.7
Azerbaijan,AZE,2010,8.7
Azerbaijan,AZE,2011,9.6
Azerbaijan,AZE,2012,8.5
Azerbaijan,AZE,2013,9.2
Azerbaijan,AZE,2014,8.9
Azerbaijan,AZE,2015,7.1
Azerbaijan,AZE,2016,6.8
Azerbaijan,AZE,2017,6.4
Bahamas,BHS,1970,8.199999809
Bahamas,BHS,1985,8.5
Bahamas,BHS,1995,9
Bahamas,BHS,2005,5.300000191
Bahamas,BHS,2006,7.900000095
Bahrain,BHR,1976,4.400000095
Bahrain,BHR,1985,6.400000095
Bahrain,BHR,1995,5.699999809
Bahrain,BHR,2005,6.400000095
Bahrain,BHR,2006,6.400000095
Bangladesh,BGD,1980,9.100000381
Bangladesh,BGD,1985,10
Bangladesh,BGD,1995,10.5
Bangladesh,BGD,2005,13
Bangladesh,BGD,2006,12.5
Barbados,BRB,1970,4.599999905
Barbados,BRB,1985,4.699999809
Barbados,BRB,1995,13.5
Barbados,BRB,2000,14.10000038
Belarus,BLR,1970,9.300000191
Belarus,BLR,1985,9.899999619
Belarus,BLR,1995,7.599999905
Belarus,BLR,2004,6.1
Belarus,BLR,2005,7.5
Belarus,BLR,2006,8.1
Belarus,BLR,2007,9.3
Belarus,BLR,2008,8
Belarus,BLR,2009,8.2
Belarus,BLR,2010,8.1
Belarus,BLR,2011,9.2
Belarus,BLR,2012,8.1
Belarus,BLR,2013,9.2
Belarus,BLR,2014,8.9
Belarus,BLR,2015,8.6
Belarus,BLR,2016,6.8
Belarus,BLR,2017,7
Belgium,BEL,1960,7.1
Belgium,BEL,1961,6.8
Belgium,BEL,1962,6.7
Belgium,BEL,1963,6.7
Belgium,BEL,1964,6.9
Belgium,BEL,1965,7
Belgium,BEL,1966,7.2
Belgium,BEL,1967,7.1
Belgium,BEL,1968,7.2
Belgium,BEL,1969,7.5
Belgium,BEL,1970,7.6
Belgium,BEL,1971,7.6
Belgium,BEL,1972,7.7
Belgium,BEL,1973,7.6
Belgium,BEL,1974,7.5
Belgium,BEL,1975,7.3
Belgium,BEL,1976,7.2
Belgium,BEL,1977,7
Belgium,BEL,1978,6.8
Belgium,BEL,1979,6.6
Belgium,BEL,1980,6.7
Belgium,BEL,1981,6.5
Belgium,BEL,1982,6.3
Belgium,BEL,1983,6.1
Belgium,BEL,1984,6
Belgium,BEL,1985,5.8
Belgium,BEL,1986,5.8
Belgium,BEL,1987,5.7
Belgium,BEL,1988,6
Belgium,BEL,1989,6.4
Belgium,BEL,1990,6.5
Belgium,BEL,1991,6.1
Belgium,BEL,1992,5.8
Belgium,BEL,1993,5.4
Belgium,BEL,1994,5.1
Belgium,BEL,1995,5.1
Belgium,BEL,1996,5
Belgium,BEL,1997,4.7
Belgium,BEL,1998,4.4
Belgium,BEL,1999,4.3
Belgium,BEL,2000,4.4
Belgium,BEL,2001,4.1
Belgium,BEL,2002,3.9
Belgium,BEL,2003,4
Belgium,BEL,2004,4.2
Belgium,BEL,2005,4.1
Belgium,BEL,2006,4.2
Belgium,BEL,2007,4.3
Belgium,BEL,2008,4.3
Belgium,BEL,2009,4
Belgium,BEL,2010,3.9
Belgium,BEL,2011,3.7
Belgium,BEL,2012,3.8
Belgium,BEL,2013,3.4
Belgium,BEL,2014,3.6
Belgium,BEL,2015,4
Belgium,BEL,2016,3.9
Belgium,BEL,2017,3.9
Belize,BLZ,1970,6.099999905
Belize,BLZ,1985,6.099999905
Belize,BLZ,1995,6.300000191
Belize,BLZ,2001,6.199999809
Belize,BLZ,2002,6.300000191
Bermuda,BMU,1970,9.399999619
Bermuda,BMU,1985,12.19999981
Bermuda,BMU,1995,16.39999962
Bermuda,BMU,2005,12.89999962
Bermuda,BMU,2006,13.69999981
Bolivia,BOL,1970,4.199999809
Bolivia,BOL,1980,5
Bolivia,BOL,1995,2.900000095
Bolivia,BOL,2005,2.400000095
Bolivia,BOL,2006,2.200000048
Bosnia and Herzegovina,BIH,1960,10.1
Bosnia and Herzegovina,BIH,1961,9.7
Bosnia and Herzegovina,BIH,1962,9.1
Bosnia and Herzegovina,BIH,1963,8.6
Bosnia and Herzegovina,BIH,1964,8.9
Bosnia and Herzegovina,BIH,1965,9.3
Bosnia and Herzegovina,BIH,1966,8.7
Bosnia and Herzegovina,BIH,1967,8.3
Bosnia and Herzegovina,BIH,1968,8.2
Bosnia and Herzegovina,BIH,1969,8.6
Bosnia and Herzegovina,BIH,1970,9.3
Bosnia and Herzegovina,BIH,1971,9.4
Bosnia and Herzegovina,BIH,1972,9.1
Bosnia and Herzegovina,BIH,1973,8.8
Bosnia and Herzegovina,BIH,1974,8.9
Bosnia and Herzegovina,BIH,1975,9
Bosnia and Herzegovina,BIH,1976,8.4
Bosnia and Herzegovina,BIH,1977,8.6
Bosnia and Herzegovina,BIH,1978,8.5
Bosnia and Herzegovina,BIH,1979,8.5
Bosnia and Herzegovina,BIH,1980,8.5
Bosnia and Herzegovina,BIH,1981,8.9
Bosnia and Herzegovina,BIH,1982,8.7
Bosnia and Herzegovina,BIH,1983,8.8
Bosnia and Herzegovina,BIH,1984,8.4
Bosnia and Herzegovina,BIH,1985,8.1
Bosnia and Herzegovina,BIH,1986,7.9
Bosnia and Herzegovina,BIH,1987,7.8
Bosnia and Herzegovina,BIH,1988,7.8
Bosnia and Herzegovina,BIH,1989,7.7
Bosnia and Herzegovina,BIH,1990,6.7
Bosnia and Herzegovina,BIH,1991,6.3
Bosnia and Herzegovina,BIH,1996,5.800000191
Bosnia and Herzegovina,BIH,1997,6.4
Bosnia and Herzegovina,BIH,1998,6.2
Bosnia and Herzegovina,BIH,1999,6
Bosnia and Herzegovina,BIH,2000,5.6
Bosnia and Herzegovina,BIH,2002,5.3
Bosnia and Herzegovina,BIH,2003,5.4
Bosnia and Herzegovina,BIH,2004,5.6
Bosnia and Herzegovina,BIH,2005,5.6
Bosnia and Herzegovina,BIH,2006,5.6
Bosnia and Herzegovina,BIH,2007,6.1
Bosnia and Herzegovina,BIH,2008,5.8
Bosnia and Herzegovina,BIH,2009,5.4
Bosnia and Herzegovina,BIH,2010,5.1
Bosnia and Herzegovina,BIH,2012,4.8
Botswana,BWA,1984,3.099999905
Brazil,BRA,1970,1.200000048
Brazil,BRA,1985,7
Brazil,BRA,2004,4.400000095
Brazil,BRA,2005,4.5
Brazil,BRA,2006,4.699999809
British Virgin Islands,VGB,1970,7.699999809
British Virgin Islands,VGB,1985,13
British Virgin Islands,VGB,1997,18
British Virgin Islands,VGB,2003,22.29999924
British Virgin Islands,VGB,2004,19.60000038
Brunei,BRN,1970,4.599999905
Brunei,BRN,1985,8.5
Brunei,BRN,1995,6.099999905
Brunei,BRN,2003,6.300000191
Brunei,BRN,2004,5.5
Bulgaria,BGR,1960,8.8
Bulgaria,BGR,1961,8.4
Bulgaria,BGR,1962,8.1
Bulgaria,BGR,1963,8.2
Bulgaria,BGR,1964,8.1
Bulgaria,BGR,1965,8
Bulgaria,BGR,1966,8.2
Bulgaria,BGR,1967,8.7
Bulgaria,BGR,1968,8.9
Bulgaria,BGR,1969,8.7
Bulgaria,BGR,1970,8.6
Bulgaria,BGR,1971,8.2
Bulgaria,BGR,1972,8.2
Bulgaria,BGR,1973,8.6
Bulgaria,BGR,1974,8.5
Bulgaria,BGR,1975,8.6
Bulgaria,BGR,1976,8.4
Bulgaria,BGR,1977,8.5
Bulgaria,BGR,1978,8.1
Bulgaria,BGR,1979,7.9
Bulgaria,BGR,1980,7.9
Bulgaria,BGR,1981,7.5
Bulgaria,BGR,1982,7.5
Bulgaria,BGR,1983,7.5
Bulgaria,BGR,1984,7.3
Bulgaria,BGR,1985,7.4
Bulgaria,BGR,1986,7.3
Bulgaria,BGR,1987,7.2
Bulgaria,BGR,1988,7
Bulgaria,BGR,1989,7.1
Bulgaria,BGR,1990,6.9
Bulgaria,BGR,1991,5.7
Bulgaria,BGR,1992,5.2
Bulgaria,BGR,1993,4.7
Bulgaria,BGR,1994,4.5
Bulgaria,BGR,1995,4.4
Bulgaria,BGR,1996,4.3
Bulgaria,BGR,1997,4.2
Bulgaria,BGR,1998,4.3
Bulgaria,BGR,1999,4.1
Bulgaria,BGR,2000,4.3
Bulgaria,BGR,2001,4
Bulgaria,BGR,2002,3.7
Bulgaria,BGR,2003,3.9
Bulgaria,BGR,2004,4
Bulgaria,BGR,2005,4.4
Bulgaria,BGR,2006,4.3
Bulgaria,BGR,2007,3.9
Bulgaria,BGR,2008,3.7
Bulgaria,BGR,2009,3.5
Bulgaria,BGR,2010,3.3
Bulgaria,BGR,2011,2.9
Bulgaria,BGR,2012,2.9
Bulgaria,BGR,2013,3
Bulgaria,BGR,2014,3.4
Bulgaria,BGR,2015,3.9
Bulgaria,BGR,2016,3.8
Bulgaria,BGR,2017,4
Canada,CAN,1960,7.3
Canada,CAN,1961,7
Canada,CAN,1962,7
Canada,CAN,1963,6.9
Canada,CAN,1964,7.2
Canada,CAN,1965,7.4
Canada,CAN,1966,7.8
Canada,CAN,1967,8.1
Canada,CAN,1968,8.3
Canada,CAN,1969,8.7
Canada,CAN,1970,8.8
Canada,CAN,1971,8.9
Canada,CAN,1972,9.2
Canada,CAN,1973,9
Canada,CAN,1974,8.9
Canada,CAN,1975,8.7
Canada,CAN,1976,8.4
Canada,CAN,1977,8
Canada,CAN,1978,7.9
Canada,CAN,1979,7.8
Canada,CAN,1980,7.8
Canada,CAN,1981,7.7
Canada,CAN,1982,7.5
Canada,CAN,1983,7.3
Canada,CAN,1984,7.2
Canada,CAN,1985,7.1
Canada,CAN,1986,6.7
Canada,CAN,1987,6.9
Canada,CAN,1988,7
Canada,CAN,1989,7
Canada,CAN,1990,6.8
Canada,CAN,1991,6.1
Canada,CAN,1992,5.8
Canada,CAN,1993,5.6
Canada,CAN,1994,5.5
Canada,CAN,1995,5.5
Canada,CAN,1996,5.3
Canada,CAN,1997,5.1
Canada,CAN,1998,5.1
Canada,CAN,1999,5.1
Canada,CAN,2000,5.1
Canada,CAN,2001,4.7
Canada,CAN,2002,4.7
Canada,CAN,2003,4.7
Canada,CAN,2004,4.6
Canada,CAN,2005,4.6
Canada,CAN,2006,4.6
Canada,CAN,2007,4.5
Canada,CAN,2008,4.4
Cape Verde,CPV,1970,3.599999905
Cape Verde,CPV,1980,6
Cape Verde,CPV,1992,3.599999905
Cape Verde,CPV,1994,3.099999905
Cayman Islands,CYM,1970,8.399999619
Cayman Islands,CYM,1985,8.399999619
Cayman Islands,CYM,1995,8.899999619
Cayman Islands,CYM,2005,8.600000381
Cayman Islands,CYM,2006,10.19999981
Channel Islands,OWID_CIS,1970,9.399999619
Channel Islands,OWID_CIS,1985,7.300000191
Channel Islands,OWID_CIS,1995,6.300000191
Channel Islands,OWID_CIS,1999,8.399999619
Channel Islands,OWID_CIS,2000,7.800000191
Chile,CHL,1970,8.1
Chile,CHL,1985,7.5
Chile,CHL,1992,6.6
Chile,CHL,1993,6.7
Chile,CHL,1994,6.5
Chile,CHL,1995,6.1
Chile,CHL,1996,5.8
Chile,CHL,1997,5.3
Chile,CHL,1998,5
Chile,CHL,1999,4.6
Chile,CHL,2000,4.4
Chile,CHL,2001,4.1
Chile,CHL,2002,3.9
Chile,CHL,2003,3.6
Chile,CHL,2004,3.3
Chile,CHL,2005,3.3
Chile,CHL,2006,3.5
Chile,CHL,2007,3.5
Chile,CHL,2008,3.3
Chile,CHL,2009,3.3
Chile,CHL,2010,3.5
Chile,CHL,2011,3.8
Chile,CHL,2012,3.7
Chile,CHL,2013,3.5
Chile,CHL,2014,3.6
Chile,CHL,2015,3.4
Chile,CHL,2016,3.4
China,CHN,1978,6.099999905
China,CHN,1985,7.800000191
China,CHN,1995,7.699999809
China,CHN,2005,6.300000191
China,CHN,2006,7.199999809
China,CHN,2010,9.3
China,CHN,2011,9.3
China,CHN,2012,9.6
Colombia,COL,1970,2.400000095
Colombia,COL,1986,2.200000048
Comoros,COM,1964,8.399999619
Cook Islands,COK,1971,6
Cook Islands,COK,1985,6.400000095
Cook Islands,COK,1995,13
Cook Islands,COK,2005,37.40000153
Cook Islands,COK,2007,59
Costa Rica,CRI,1960,7.2
Costa Rica,CRI,1961,6.7
Costa Rica,CRI,1962,5.8
Costa Rica,CRI,1963,5.8
Costa Rica,CRI,1964,5.5
Costa Rica,CRI,1965,5.7
Costa Rica,CRI,1966,5.6
Costa Rica,CRI,1967,5.5
Costa Rica,CRI,1968,5.8
Costa Rica,CRI,1969,5.8
Costa Rica,CRI,1970,6.3
Costa Rica,CRI,1971,6.3
Costa Rica,CRI,1972,7
Costa Rica,CRI,1973,6.8
Costa Rica,CRI,1974,7.3
Costa Rica,CRI,1975,7.3
Costa Rica,CRI,1976,7.2
Costa Rica,CRI,1977,7.3
Costa Rica,CRI,1978,7.6
Costa Rica,CRI,1979,7.6
Costa Rica,CRI,1980,7.6
Costa Rica,CRI,1981,7
Costa Rica,CRI,1982,7.6
Costa Rica,CRI,1983,7.7
Costa Rica,CRI,1984,7.9
Costa Rica,CRI,1985,8
Costa Rica,CRI,1986,7.7
Costa Rica,CRI,1987,7.8
Costa Rica,CRI,1988,8
Costa Rica,CRI,1989,7.8
Costa Rica,CRI,1990,7.5
Costa Rica,CRI,1991,7.2
Costa Rica,CRI,1992,6.6
Costa Rica,CRI,1993,6.3
Costa Rica,CRI,1994,6.5
Costa Rica,CRI,1995,7.1
Costa Rica,CRI,1996,6.7
Costa Rica,CRI,1997,6.7
Costa Rica,CRI,1998,6.7
Costa Rica,CRI,1999,6.8
Costa Rica,CRI,2000,6.3
Costa Rica,CRI,2001,6
Costa Rica,CRI,2002,5.9
Costa Rica,CRI,2003,6
Costa Rica,CRI,2004,6.1
Costa Rica,CRI,2005,6.1
Costa Rica,CRI,2006,6.2
Costa Rica,CRI,2007,6
Costa Rica,CRI,2008,5.7
Costa Rica,CRI,2009,5.4
Costa Rica,CRI,2010,5.3
Costa Rica,CRI,2011,5.4
Costa Rica,CRI,2012,5.6
Costa Rica,CRI,2013,5.5
Costa Rica,CRI,2014,5.4
Costa Rica,CRI,2015,5.5
Costa Rica,CRI,2016,5.5
Costa Rica,CRI,2017,5.2
Croatia,HRV,1960,8.9
Croatia,HRV,1961,8.8
Croatia,HRV,1962,8.6
Croatia,HRV,1963,8
Croatia,HRV,1964,8.5
Croatia,HRV,1965,9
Croatia,HRV,1966,8.6
Croatia,HRV,1967,8.3
Croatia,HRV,1968,8.1
Croatia,HRV,1969,8.1
Croatia,HRV,1970,8.5
Croatia,HRV,1971,8.5
Croatia,HRV,1972,8.5
Croatia,HRV,1973,8.3
Croatia,HRV,1974,8
Croatia,HRV,1975,8
Croatia,HRV,1976,7.7
Croatia,HRV,1977,7.8
Croatia,HRV,1978,7.8
Croatia,HRV,1979,7.4
Croatia,HRV,1980,7.2
Croatia,HRV,1981,7.3
Croatia,HRV,1982,7.2
Croatia,HRV,1983,7.1
Croatia,HRV,1984,6.9
Croatia,HRV,1985,6.6
Croatia,HRV,1986,6.5
Croatia,HRV,1987,6.6
Croatia,HRV,1988,6.2
Croatia,HRV,1989,6.1
Croatia,HRV,1990,5.8
Croatia,HRV,1991,4.6
Croatia,HRV,1992,4.8
Croatia,HRV,1993,5
Croatia,HRV,1994,5.2
Croatia,HRV,1995,5.3
Croatia,HRV,1996,5.4
Croatia,HRV,1997,5.4
Croatia,HRV,1998,5.3
Croatia,HRV,1999,5.3
Croatia,HRV,2000,4.9
Croatia,HRV,2001,5.1
Croatia,HRV,2002,5.3
Croatia,HRV,2003,5.2
Croatia,HRV,2004,5.3
Croatia,HRV,2005,5.1
Croatia,HRV,2006,5.1
Croatia,HRV,2007,5.4
Croatia,HRV,2008,5.4
Croatia,HRV,2009,5.2
Croatia,HRV,2010,5
Croatia,HRV,2011,4.7
Croatia,HRV,2012,4.8
Croatia,HRV,2013,4.5
Croatia,HRV,2014,4.6
Croatia,HRV,2015,4.7
Croatia,HRV,2016,4.9
Croatia,HRV,2017,4.9
Cuba,CUB,1970,13.39999962
Cuba,CUB,1985,8
Cuba,CUB,1995,6.400000095
Cuba,CUB,2005,4.599999905
Cuba,CUB,2006,5
Cyprus,CYP,1964,4.4
Cyprus,CYP,1965,7.6
Cyprus,CYP,1966,7.3
Cyprus,CYP,1967,8.7
Cyprus,CYP,1968,6.1
Cyprus,CYP,1969,8.6
Cyprus,CYP,1970,8.6
Cyprus,CYP,1971,9.6
Cyprus,CYP,1972,6.6
Cyprus,CYP,1973,8.8
Cyprus,CYP,1974,5.4
Cyprus,CYP,1975,11.2
Cyprus,CYP,1976,7.1
Cyprus,CYP,1977,10.1
Cyprus,CYP,1978,10
Cyprus,CYP,1979,12.6
Cyprus,CYP,1980,7.7
Cyprus,CYP,1981,11.5
Cyprus,CYP,1982,10.8
Cyprus,CYP,1983,11.7
Cyprus,CYP,1984,7.7
Cyprus,CYP,1985,10.5
Cyprus,CYP,1986,9.4
Cyprus,CYP,1987,10.8
Cyprus,CYP,1988,7
Cyprus,CYP,1989,9.9
Cyprus,CYP,1990,9.7
Cyprus,CYP,1991,10.5
Cyprus,CYP,1992,8
Cyprus,CYP,1993,9.7
Cyprus,CYP,1994,9.7
Cyprus,CYP,1995,10.2
Cyprus,CYP,1996,8.7
Cyprus,CYP,1997,10.7
Cyprus,CYP,1998,11.4
Cyprus,CYP,1999,13.2
Cyprus,CYP,2000,13.4
Cyprus,CYP,2001,15.1
Cyprus,CYP,2002,14.5
Cyprus,CYP,2003,7.7
Cyprus,CYP,2004,7.3
Cyprus,CYP,2005,8
Cyprus,CYP,2006,7
Cyprus,CYP,2007,8.3
Cyprus,CYP,2008,7.8
Cyprus,CYP,2009,7.8
Cyprus,CYP,2010,7.3
Cyprus,CYP,2011,7.3
Cyprus,CYP,2012,6.7
Cyprus,CYP,2013,6.4
Cyprus,CYP,2014,6.3
Cyprus,CYP,2015,7.2
Cyprus,CYP,2016,7.5
Cyprus,CYP,2017,6.8
Czechia,CZE,1960,7.7
Czechia,CZE,1961,7.7
Czechia,CZE,1962,8
Czechia,CZE,1963,8.3
Czechia,CZE,1964,8.3
Czechia,CZE,1965,8.4
Czechia,CZE,1966,8.6
Czechia,CZE,1967,8.9
Czechia,CZE,1968,9
Czechia,CZE,1969,9.1
Czechia,CZE,1970,9.2
Czechia,CZE,1971,9.3
Czechia,CZE,1972,9.7
Czechia,CZE,1973,10
Czechia,CZE,1974,9.8
Czechia,CZE,1975,9.7
Czechia,CZE,1976,9.4
Czechia,CZE,1977,9.1
Czechia,CZE,1978,8.8
Czechia,CZE,1979,8.2
Czechia,CZE,1980,7.6
Czechia,CZE,1981,7.5
Czechia,CZE,1982,7.5
Czechia,CZE,1983,7.8
Czechia,CZE,1984,7.9
Czechia,CZE,1985,7.8
Czechia,CZE,1986,7.9
Czechia,CZE,1987,8.1
Czechia,CZE,1988,7.9
Czechia,CZE,1989,7.8
Czechia,CZE,1990,8.8
Czechia,CZE,1991,7
Czechia,CZE,1992,7.2
Czechia,CZE,1993,6.4
Czechia,CZE,1994,5.7
Czechia,CZE,1995,5.3
Czechia,CZE,1996,5.2
Czechia,CZE,1997,5.6
Czechia,CZE,1998,5.3
Czechia,CZE,1999,5.2
Czechia,CZE,2000,5.4
Czechia,CZE,2001,5.1
Czechia,CZE,2002,5.2
Czechia,CZE,2003,4.8
Czechia,CZE,2004,5
Czechia,CZE,2005,5.1
Czechia,CZE,2006,5.2
Czechia,CZE,2007,5.5
Czechia,CZE,2008,5.1
Czechia,CZE,2009,4.6
Czechia,CZE,2010,4.5
Czechia,CZE,2011,4.3
Czechia,CZE,2012,4.3
Czechia,CZE,2013,4.1
Czechia,CZE,2014,4.3
Czechia,CZE,2015,4.6
Czechia,CZE,2016,4.8
Czechia,CZE,2017,5
Denmark,DNK,1960,7.8
Denmark,DNK,1961,7.9
Denmark,DNK,1962,8.1
Denmark,DNK,1963,8.2
Denmark,DNK,1964,8.4
Denmark,DNK,1965,8.8
Denmark,DNK,1966,8.6
Denmark,DNK,1967,8.5
Denmark,DNK,1968,8.1
Denmark,DNK,1969,8
Denmark,DNK,1970,7.4
Denmark,DNK,1971,6.6
Denmark,DNK,1972,6.2
Denmark,DNK,1973,6.1
Denmark,DNK,1974,6.6
Denmark,DNK,1975,6.3
Denmark,DNK,1976,6.1
Denmark,DNK,1977,6.3
Denmark,DNK,1978,5.6
Denmark,DNK,1979,5.4
Denmark,DNK,1980,5.2
Denmark,DNK,1981,5
Denmark,DNK,1982,4.8
Denmark,DNK,1983,5.3
Denmark,DNK,1984,5.6
Denmark,DNK,1985,5.7
Denmark,DNK,1986,6
Denmark,DNK,1987,6.1
Denmark,DNK,1988,6.3
Denmark,DNK,1989,6
Denmark,DNK,1990,6.1
Denmark,DNK,1991,6
Denmark,DNK,1992,6.2
Denmark,DNK,1993,6.1
Denmark,DNK,1994,6.8
Denmark,DNK,1995,6.6
Denmark,DNK,1996,6.8
Denmark,DNK,1997,6.5
